name,institution_type,avg_rad,no2
363. Voya,Fortune 500 HQ,158.49083,1.1137873414493032e-4
64. Adobe,Fortune 500 HQ,121.425835,4.5630690016335e-5
"53. Walt Disney, Burbank, CA, USA",Fortune 500 HQ,138.48167,9.340272189375144e-5
360. Glenworth Financial,Fortune 500 HQ,173.55084,2.7033178018008222e-5
"374. Expeditors, 3rd Avenue, Seattle, WA, USA",Fortune 500 HQ,173.81084,5.915514217561968e-5
"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA",Fortune 500 HQ,37.703335,4.2323931448874595e-5
"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA",Fortune 500 HQ,248.32083,1.0035571628393234e-4
"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",Fortune 500 HQ,80.18916,3.774325011085493e-5
"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",Fortune 500 HQ,91.06834,2.8134291832782917e-5
369. Amphenol,Fortune 500 HQ,25.376667,5.432739385074581e-5
"379. United Rentals,Stamford, CT, USA",Fortune 500 HQ,50.169167,5.045111752950983e-5
"378. Assurant, New York, NY, USA",Fortune 500 HQ,181.5675,1.1137873414493032e-4
368. Alaska Air Group,Fortune 500 HQ,170.245,5.915514217561968e-5
"377. SpartanNash Company,  Byron Center, MI, USA",Fortune 500 HQ,42.013332,3.76775407045923e-5
"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA",Fortune 500 HQ,30.015833,3.605115527464724e-5
367. THOR INDUSTRIES,Fortune 500 HQ,68.308334,4.3503687894674694e-5
"375. EMCOR Norwalk, Connecticut, USA",Fortune 500 HQ,22.77,4.4467912425428384e-5
366. Masco Corp,Fortune 500 HQ,46.771667,5.224996439566948e-5
"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",Fortune 500 HQ,732.43,5.827448871041007e-5
"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",Fortune 500 HQ,209.41083,8.747815628807685e-5
"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA",Fortune 500 HQ,222.23666,4.370542177808618e-5
"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA",Fortune 500 HQ,41.115,4.899376437683996e-5
"396. EnLink Midstream, Routh Street, Dallas, TX, USA",Fortune 500 HQ,137.70334,5.0348112262864e-5
"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA",Fortune 500 HQ,31.279167,5.898166618091944e-5
"395 Osh Kosh, Oshkosh, WI, USA",Fortune 500 HQ,48.804165,3.4314463358857994e-5
"394. Builders FirstSource, Bryan Street, Dallas, TX, USA",Fortune 500 HQ,193.06,5.0348112262864e-5
363. Ryder System,Fortune 500 HQ,215.2675,4.1248501277005455e-5
"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",Fortune 500 HQ,135.1675,5.0348112262864e-5
"392. PPL, Allentown, PA, USA",Fortune 500 HQ,28.256666,2.862830736844547e-5
362. Yum China Holdings,Fortune 500 HQ,77.528336,3.684942580208026e-5
"391. Hershey, PA, USA",Fortune 500 HQ,56.784164,3.0240662488237413e-5
"390. Alliance Data Systems, Plano, TX, USA",Fortune 500 HQ,77.528336,3.684942580208026e-5
"389. Berry Global, Oakley Street, Evansville, IN, USA",Fortune 500 HQ,82.471664,3.351035140435146e-5
361. Fidelity National Information Services,Fortune 500 HQ,122.839165,4.881456158626854e-5
"388. Tractor Supply Company  Brentwood, TN, USA",Fortune 500 HQ,33.48,3.2817936218050236e-5
"387. Zimmer Biomet Warsaw, IN, USA",Fortune 500 HQ,12.403334,4.2352306679879656e-5
"386. Conagra Brands, Chicago, IL, USA",Fortune 500 HQ,258.18832,7.601491201048877e-5
"385. Foot Locker, Broadway, New York, NY, USA",Fortune 500 HQ,445.77417,1.0035571628393234e-4
359. Dick’s Sporting Goods,Fortune 500 HQ,28.92,3.52475929308184e-5
"384. Fifth Third Bank, OH, USA",Fortune 500 HQ,31.339167,3.961406513440664e-5
"358. Eversource, Station Drive, Westwood, MA, USA",Fortune 500 HQ,39.943333,3.71686401709126e-5
"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA",Fortune 500 HQ,206.5175,4.62703000555975e-5
"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA",Fortune 500 HQ,16.910833,2.156946089980095e-5
"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA",Fortune 500 HQ,53.696667,3.026781851163888e-5
"381. Erie Insurance Arena, French Street, Erie, PA, USA",Fortune 500 HQ,138.4625,2.864244100621681e-5
356. Jones Financial (Edward Jones),Fortune 500 HQ,33.183334,4.514257804527948e-5
"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA",Fortune 500 HQ,32.371666,2.9379583494468344e-5
355. Frontier Communications,Fortune 500 HQ,39.89417,5.037657098739503e-5
"500. Levi's Store, San Francisco, CA, USA",Fortune 500 HQ,196.28,3.726038482694589e-5
"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA",Fortune 500 HQ,29.025833,2.4487232034772497e-5
"499. Peabody Energy, St. Louis, MO, USA",Fortune 500 HQ,348.5975,5.4413799194717365e-5
"498. Western Union,Denver, CO, USA",Fortune 500 HQ,97.17167,4.577360717012564e-5
353. UNIVAR,Fortune 500 HQ,38.026665,8.827746039121096e-5
352. WESTLAKE CHEMICAL,Fortune 500 HQ,153.30667,4.62703000555975e-5
351. Thrivent Financial for Lutherans,Fortune 500 HQ,223.65916000000001,4.766322957067659e-5
350. Rockwell Collins,Fortune 500 HQ,147.37083,2.8463231266299946e-5
"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA",Fortune 500 HQ,53.900833,4.789305248133616e-5
348. WILLIAMS,Fortune 500 HQ,216.59917,4.087592789391936e-5
"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA",Fortune 500 HQ,30.414167,3.5955921491711194e-5
346. GameStop,Fortune 500 HQ,93.15833,5.4835220214804046e-5
"497. Navient, Wilmington, DE, USA",Fortune 500 HQ,98.590836,4.745488450832957e-5
"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA",Fortune 500 HQ,196.43666,4.919916464778855e-5
"495. Williams-Sonoma, Post Street, San Francisco, CA, USA",Fortune 500 HQ,87.35834,3.726038482694589e-5
"494. Yum Brands, Louisville, KY, USA",Fortune 500 HQ,154.8,4.496994406105207e-5
"493. Windstream Holdings Little Rock, AR, USA",Fortune 500 HQ,93.05167,2.6995355878396784e-5
